,authors,citation_count,article_count
4347,"Ihalainen, J",11,1
4322,"Højen, A",11,8
7248,"Okhmatovskaia, A",11,6
11239,"van Vlymen, J",11,1
5352,"Kuo, M",11,10
4123,"Hippisley-Cox, J",11,1
234,"Altmann, U",11,7
8470,"Rosier, A",11,2
8765,"Sbodio, M",11,4
5303,"Kuelpmann, W",11,1
10081,"Trifirò, G",11,1
2553,"Eckardt, K",11,2
7026,"Nguyen, V",11,2
7027,"Ni, Y",11,4
2531,"Dzregah, B",11,1
2521,"Dybkaer, R",11,1
10124,"Tsiknakis, M",11,9
7133,"Nordin, G",11,1
8826,"Schlegel, D",11,1
10863,"Xia, E",11,1
7860,"Pontet, F",11,1
7844,"Polimeni, G",11,1
2462,"Dudeck, J",11,20
6451,"Mei, J",11,9
8034,"Qin, Y",11,3
6280,"Martinez, S",11,3
10990,"Zaiss, A",11,7
6390,"Mazzaglia, G",11,1
8232,"Renard, J",11,13
9605,"Sturkenboom, M",11,1
598,"Barch, A",11,1
1593,"Catania, M",11,1
551,"Ball, R",11,2
3394,"Gilad, D",11,1
6262,"Marshall, M",11,2
6264,"Martens, J",11,1
6078,"Magdal Petersen, U",11,1
3373,"Giaquinto, C",11,1
3409,"Gini, R",11,1
1449,"Cabitza, F",11,7
11059,"Zhao, S",11,1
11056,"Zhang, Y",11,1
9649,"Sun, N",11,2
3484,"Goldsteen, A",10,4
3974,"Heeren, P",10,3
4957,"Kimiafar, K",10,5
7365,"Ozery-Flato, M",10,2
9192,"Sijm-Eeken, M",10,2
3384,"Giesa, N",10,1
4448,"Jacquelinet, C",10,6
6008,"López, D",10,7
989,"Blease, C",10,3
11072,"Zhu, H",10,3
7890,"Potamias, G",10,3
6144,"Manabe, S",10,10
8671,"Samuelsson, H",10,1
3965,"He, Z",10,2
11074,"Zhu, X",10,3
4027,"Hempelmann, G",10,7
4491,"Janols, R",10,2
80,"Agha-Mir-Salim, L",10,5
7863,"Pool, J",10,1
11137,"Zvarova, J",10,8
3299,"Geller, J",10,3
2952,"Flint, A",10,4
3943,"Haug, P",10,1
8604,"Sadou, E",10,2
734,"Behrends, M",10,3
6705,"Moner, D",10,3
3907,"Hartmann, A",10,1
6686,"Mohd Yusof, M",10,2
9465,"Standl, E",10,1
10907,"Yanover, C",10,1
2315,"Dietrich, W",10,1
9972,"Titze, S",10,1
1880,"Coman Schmid, D",10,1
5130,"Konstantinidis, S",10,6
10094,"Trombert-Paviot, B",10,7
558,"Balzer, F",10,10
9702,"Syed, S",10,6
7856,"Poncette, A",10,8
5308,"Kuhn, K",10,6
2587,"Eich, H",10,8
1864,"Coiera, E",10,3
7219,"Oesterle, S",10,1
6301,"Martínez-Costa, C",10,5
9349,"Solomon, W",10,2
7178,"Névéol, A",10,5
11063,"Zheng, J",10,1
3551,"Gottlieb, A",10,1
174,"Alecu, I",10,2
1826,"Claesson, L",10,1
9701,"Syed, M",10,7
939,BioMedIT network team,10,1
911,"Biermann, E",10,1
3400,"Gillois, P",10,7
4104,"Hilama, P",10,1
8717,"Sarbaz, M",10,5
1005,"Blomstrand, C",10,1
1951,"Crameri, K",10,2
3554,"Goude, D",10,1
958,"Bjorkdahl, A",10,1
2355,"Djennaoui, M",10,1
10683,"Weissbrod, O",10,2
9396,"Souvignet, J",10,6
5416,"Kümmel, M",10,2
3595,"Granlien, M",10,2
1043,"Boie, S",10,1
7496,"Parush Shear-Yashuv, N",10,1
705,"Beck, A",10,1
1031,"Boeker, M",10,8
9553,"Stockinger, H",10,1
5878,"Loncaric, S",10,2
6573,"Michel-Backofen, A",10,6
8496,"Roudsari, A",10,6
3722,"Gutierrez-Sacristan, A",10,3
9528,"Stephan, S",10,1
653,"Bathelt, F",10,8
2159,"Declerck, G",10,4
2170,"Degoulet, P",10,14
1461,"Cai, P",10,3
8323,"Rinn, B",10,1
